year,days_wildfire,days_total,non_wildfire_days,wildfire_share
2003,7,939,932,0.007454739084132056
2004,4448,4648,200,0.9569707401032702
2005,20,642,622,0.03115264797507788
2006,62,730,668,0.08493150684931507
2007,38,541,503,0.07024029574861368
2008,5354,5974,620,0.8962169400736525
2009,240,970,730,0.24742268041237114
2010,161,1052,891,0.15304182509505704
2011,0,414,414,0
2012,9,916,907,0.009825327510917031
2013,28,195,167,0.14358974358974358
2014,297,434,137,0.684331797235023
2015,65,1049,984,0.06196377502383222
2016,509,1808,1299,0.2815265486725664
2017,451,2194,1743,0.20556061987237922
2018,5860,6415,555,0.9134840218238504
2019,3893,4898,1005,0.7948142098815844
